"('Kung Fury',)","('2015',)","('Not Rated',)","('31 min',)","(['Short', 'Action', 'Comedy'],)","('8.0',)","('In 1985, Kung Fury, the toughest martial artist cop in Miami, goes back in time to kill the worst criminal of all time - Kung Führer, a.k.a. Adolf Hitler.',)","('David Sandberg',)","(['David Sandberg', 'Jorma Taccone', 'Steven Chew', 'Leopold Nilsson'],)","56,728"
"('The Wrong Trousers',)","('1993',)","('Not Rated',)","('30 min',)","(['Animation', 'Short', 'Comedy'],)","('8.3',)","(""Wallace lets out his spare room to a penguin. The penguin and Gromit, Wallace's dog, immediately don't see eye-to-eye. Meanwhile, Wallace has invented a giant pair of robotic trousers, designed to take Gromit for walks."",)","('Nick Park',)","(['Peter Sallis', 'Peter Hawkins'],)","51,588"
"('Un Chien Andalou',)","('1929',)","('Not Rated',)","('16 min',)","(['Short', 'Fantasy', 'Horror'],)","('7.7',)","('Luis Buñuel and Salvador Dalí present 16 minutes of bizarre, surreal imagery.',)","('Luis Buñuel',)","(['Pierre Batcheff', 'Simone Mareuil', 'Luis Buñuel', 'Pancho Cossío'],)","46,827"
"('A Trip to the Moon',)","('1902',)","('TV-G',)","('13 min',)","(['Short', 'Adventure', 'Comedy'],)","('8.2',)","('A group of astronomers go on an expedition to the Moon.',)","('Georges Méliès',)","(['Georges Méliès', 'Victor André', 'Bleuette Bernon', 'Brunnet'],)","45,056"
"('A Close Shave',)","('1995',)","('Not Rated',)","('30 min',)","(['Animation', 'Short', 'Comedy'],)","('8.1',)","(""Wallace's whirlwind romance with the owner of the local wool shop puts his head in a spin; Gromit is framed for sheep-rustling in a fiendish criminal plot."",)","('Nick Park',)","(['Peter Sallis', 'Anne Reid', 'Justin Fletcher', 'Peter Hawkins'],)","39,288"
"('A Grand Day Out',)","('1989',)","('Not Rated',)","('23 min',)","(['Animation', 'Short', 'Adventure'],)","('7.8',)","(""Wallace takes a break from trying to decide on a holiday destination only to find he has no cheese for his crackers. The solution to both problems is a trip to the moon, with dog Gromit, because everybody knows the moon's made of cheese."",)","('Nick Park',)","(['Peter Sallis', 'Peter Hawkins'],)","32,024"
"('Paperman',)","('2012',)","('G',)","('7 min',)","(['Animation', 'Short', 'Comedy'],)","('8.3',)","('An office worker meets the girl of his dreams and uses a fleet of paper airplanes to get her attention.',)","('John Kahrs',)","(['John Kahrs', 'Kari Wahlgren', 'Jack Goldenberg', 'Jeff Turley'],)","31,725"
"('Hotel Chevalier',)","('2007',)","('R',)","('13 min',)","(['Short', 'Drama', 'Romance'],)","('7.3',)","('A prologue of one heart-breaking history of love and the prologue of the travel told in The Darjeeling Limited (2007).',)","('Wes Anderson',)","(['Jason Schwartzman', 'Natalie Portman', 'Waris Ahluwalia', 'Michel Castejon'],)","31,719"
"('La Jetée',)","('1962',)","('Not Rated',)","('28 min',)","(['Short', 'Drama', 'Romance'],)","('8.3',)","(""The story of a man forced to explore his memories in the wake of World War III's devastation, told through still images."",)","('Chris Marker',)","(['Étienne Becker', 'Jean Négroni', 'Hélène Chatelain', 'Davos Hanich'],)","30,602"
"('For the Birds',)","('2000',)","('G',)","('3 min',)","(['Animation', 'Short', 'Comedy'],)","('8.0',)","('A group of snooty birds roosting on a telephone wire get their just deserts when a goofy bird drops in.',)","('Ralph Eggleston',)",,"29,819"
"('Piper',)","('2016',)","('G',)","('6 min',)","(['Animation', 'Short', 'Family'],)","('8.4',)","('A hungry sandpiper hatchling ventures from her nest for the first time to dig for food by the shoreline. The problem is, the food is buried in the sand where scary waves roll up.',)",,,"26,502"
"(""Geri's Game"",)","('1997',)","('G',)","('4 min',)","(['Animation', 'Short', 'Family'],)","('7.9',)","('Geri sets up a chess game to play his greatest opponent - himself.',)","('Jan Pinkava',)",,"23,344"
"('Presto',)","('2008',)","('G',)","('5 min',)","(['Animation', 'Short', 'Comedy'],)","('8.3',)","(""A stage magician's rabbit gets into a magical onstage brawl against his neglectful guardian with two magic hats."",)","('Doug Sweetland',)",,"23,083"
"('Bao',)","('2018',)","('G',)","('8 min',)","(['Animation', 'Short', 'Family'],)","('7.5',)","('A Chinese-Canadian woman suffering from empty nest syndrome gets a second shot at motherhood when one of her handmade dumplings comes alive.',)","('Domee Shi',)","(['Sindy Lau', 'Daniel Kai Lin', 'Sharmaine Yeoh', 'Tim Zhang'],)","22,624"
"('Feast',)","('I) (2014',)","('G',)","('6 min',)","(['Animation', 'Short', 'Comedy'],)","('8.2',)","('The love life of a man as told through the meals he gives his adopted dog, Winston.',)","('Patrick Osborne',)","(['Steve Apostolina', 'Kirk Baily', 'Ben Bledsoe', 'David Cowgill'],)","22,244"
"('Vincent',)","('1982',)","('G',)","('6 min',)","(['Animation', 'Short', 'Family'],)","('8.3',)","('Young Vincent Malloy dreams of being just like Vincent Price and loses himself in macabre daydreams which annoys his mother.',)","('Tim Burton',)",,"22,011"
